Pozycja,Wykonawca,Piosenka,Nr_notowania
6,Lady Pank & Maciej Maleńczuk,TAŃCZ GŁUPIA TAŃCZ,1900
7,Kayah i Zbigniew Wodecki,CHWYTAJ DZIEŃ,1900
8,Kazik + Zdunek Ensemble,WOJNY,1900
9,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1900
10,Nosowska,JA PAS!,1900
1,Dawid Podsiadło,MAŁOMIASTECZKOWY,1901
2,Męskie Granie Orkiestra 2018,POCZĄTEK,1901
3,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1901
4,Lady Pank & Maciej Maleńczuk,TAŃCZ GŁUPIA TAŃCZ,1901
5,Lao Che,KAPITAN POLSKA,1901
6,Kayah i Zbigniew Wodecki,CHWYTAJ DZIEŃ,1901
7,Kazik + Zdunek Ensemble,WOJNY,1901
8,Paweł Domagała,WEŹ NIE PYTAJ,1901
9,Artur Andrus & Dorota Miśkiewicz,CIOCIA W GABLOCIE,1901
10,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1901
1,Męskie Granie Orkiestra 2018,POCZĄTEK,1902
2,Dawid Podsiadło,MAŁOMIASTECZKOWY,1902
3,Paweł Domagała,WEŹ NIE PYTAJ,1902
4,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1902
5,Lady Pank & Maciej Maleńczuk,TAŃCZ GŁUPIA TAŃCZ,1902
6,Lao Che,KAPITAN POLSKA,1902
7,Artur Andrus & Dorota Miśkiewicz,CIOCIA W GABLOCIE,1902
8,Kayah i Zbigniew Wodecki,CHWYTAJ DZIEŃ,1902
9,Kazik + Zdunek Ensemble,WOJNY,1902
10,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1902
1,Męskie Granie Orkiestra 2018,POCZĄTEK,1903
2,Dawid Podsiadło,MAŁOMIASTECZKOWY,1903
3,Paweł Domagała,WEŹ NIE PYTAJ,1903
4,Lady Pank & Maciej Maleńczuk,TAŃCZ GŁUPIA TAŃCZ,1903
5,Artur Andrus & Dorota Miśkiewicz,CIOCIA W GABLOCIE,1903
6,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1903
7,Lao Che,KAPITAN POLSKA,1903
8,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1903
9,Nosowska,JA PAS!,1903
10,Kayah i Zbigniew Wodecki,CHWYTAJ DZIEŃ,1903
1,Męskie Granie Orkiestra 2018,POCZĄTEK,1904
2,Paweł Domagała,WEŹ NIE PYTAJ,1904
3,Dawid Podsiadło,MAŁOMIASTECZKOWY,1904
4,Artur Andrus & Dorota Miśkiewicz,CIOCIA W GABLOCIE,1904
5,Lady Pank & Maciej Maleńczuk,TAŃCZ GŁUPIA TAŃCZ,1904
6,Kazik + Zdunek Ensemble,WOJNY,1904
7,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1904
8,Tulia,JESZCZE CIĘ NIE MA,1904
9,Lao Che,KAPITAN POLSKA,1904
10,Nosowska,JA PAS!,1904
1,Męskie Granie Orkiestra 2018,POCZĄTEK,1905
2,Dawid Podsiadło,MAŁOMIASTECZKOWY,1905
3,Paweł Domagała,WEŹ NIE PYTAJ,1905
4,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1905
5,Artur Andrus & Dorota Miśkiewicz,CIOCIA W GABLOCIE,1905
6,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1905
7,Kazik + Zdunek Ensemble,WOJNY,1905
8,Lao Che,KAPITAN POLSKA,1905
9,Lady Pank & Maciej Maleńczuk,TAŃCZ GŁUPIA TAŃCZ,1905
10,Tulia,JESZCZE CIĘ NIE MA,1905
1,Męskie Granie Orkiestra 2018,POCZĄTEK,1906
2,Dawid Podsiadło,MAŁOMIASTECZKOWY,1906
3,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1906
4,Maanam,BLUES KORY,1906
5,Paweł Domagała,WEŹ NIE PYTAJ,1906
6,Lao Che,KAPITAN POLSKA,1906
7,Kortez,STARE DRZEWA,1906
8,Krzysztof Zalewski,JEDNEGO SERCA,1906
9,Artur Andrus & Dorota Miśkiewicz,CIOCIA W GABLOCIE,1906
10,Kazik + Zdunek Ensemble,WOJNY,1906
1,Maanam,BLUES KORY,1907
2,Męskie Granie Orkiestra 2018,POCZĄTEK,1907
3,Dawid Podsiadło,MAŁOMIASTECZKOWY,1907
4,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1907
5,Kortez,STARE DRZEWA,1907
6,Paweł Domagała,WEŹ NIE PYTAJ,1907
7,Krzysztof Zalewski,JEDNEGO SERCA,1907
8,Lao Che,KAPITAN POLSKA,1907
9,Artur Andrus & Dorota Miśkiewicz,CIOCIA W GABLOCIE,1907
10,Lady Pank & Maciej Maleńczuk,TAŃCZ GŁUPIA TAŃCZ,1907
1,Maanam,BLUES KORY,1908
2,Męskie Granie Orkiestra 2018,POCZĄTEK,1908
3,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1908
4,Dawid Podsiadło,MAŁOMIASTECZKOWY,1908
5,Kortez,STARE DRZEWA,1908
6,Lao Che,KAPITAN POLSKA,1908
7,Paweł Domagała,WEŹ NIE PYTAJ,1908
8,Krzysztof Zalewski,JEDNEGO SERCA,1908
9,Artur Andrus & Dorota Miśkiewicz,CIOCIA W GABLOCIE,1908
10,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1908
1,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1909
2,Męskie Granie Orkiestra 2018,POCZĄTEK,1909
3,Maanam,BLUES KORY,1909
4,Kortez,STARE DRZEWA,1909
5,Dawid Podsiadło,MAŁOMIASTECZKOWY,1909
6,Krzysztof Zalewski,JEDNEGO SERCA,1909
7,Paweł Domagała,WEŹ NIE PYTAJ,1909
8,Lao Che,KAPITAN POLSKA,1909
9,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1909
10,Artur Andrus & Dorota Miśkiewicz,CIOCIA W GABLOCIE,1909
1,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1910
2,Męskie Granie Orkiestra 2018,POCZĄTEK,1910
3,Kortez,STARE DRZEWA,1910
4,Dawid Podsiadło,MAŁOMIASTECZKOWY,1910
5,Maanam,BLUES KORY,1910
6,Krzysztof Zalewski,JEDNEGO SERCA,1910
7,Paweł Domagała,WEŹ NIE PYTAJ,1910
8,Kazik + Zdunek Ensemble,WOJNY,1910
9,Lao Che,KAPITAN POLSKA,1910
10,Artur Andrus & Dorota Miśkiewicz,CIOCIA W GABLOCIE,1910
1,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1911
2,Kortez,STARE DRZEWA,1911
3,Męskie Granie Orkiestra 2018,POCZĄTEK,1911
4,Maanam,BLUES KORY,1911
5,Pablopavo i Ludziki,KARWOSKI,1911
6,Dawid Podsiadło,MAŁOMIASTECZKOWY,1911
7,Lao Che,SEN A'LA TREN,1911
8,Krzysztof Zalewski,JEDNEGO SERCA,1911
9,Paweł Domagała,WEŹ NIE PYTAJ,1911
10,Artur Andrus & Dorota Miśkiewicz,CIOCIA W GABLOCIE,1911
1,Pablopavo i Ludziki,KARWOSKI,1912
2,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1912
3,Lao Che,SEN A'LA TREN,1912
4,Kortez,STARE DRZEWA,1912
5,Męskie Granie Orkiestra 2018,POCZĄTEK,1912
6,Riverside,RIVER DOWN BELOW,1912
7,Maanam,BLUES KORY,1912
8,Dawid Podsiadło,MAŁOMIASTECZKOWY,1912
9,Krzysztof Zalewski,JEDNEGO SERCA,1912
10,Barbara Wrońska,NIEUSTRASZENI,1912
1,Kortez,STARE DRZEWA,1913
2,Pablopavo i Ludziki,KARWOSKI,1913
3,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1913
4,Lao Che,SEN A'LA TREN,1913
5,Riverside,RIVER DOWN BELOW,1913
6,Męskie Granie Orkiestra 2018,POCZĄTEK,1913
7,Kortez,HEJ WY,1913
8,Maanam,BLUES KORY,1913
9,Dawid Podsiadło,MAŁOMIASTECZKOWY,1913
10,Nosowska,NAGASAKI,1913
1,Pablopavo i Ludziki,KARWOSKI,1914
2,Kortez,STARE DRZEWA,1914
3,Riverside,RIVER DOWN BELOW,1914
4,Lao Che,SEN A'LA TREN,1914
5,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1914
6,Kortez,HEJ WY,1914
7,Męskie Granie Orkiestra 2018,POCZĄTEK,1914
8,Maanam & Kasia Nosowska,SIE ŚCIEMNIA,1914
9,The Dumplings,RAJ,1914
10,Zaz,QUE VENDRA,1914
1,Dawid Podsiadło,NIE MA FAL,1915
2,Riverside,RIVER DOWN BELOW,1915
3,Kortez,STARE DRZEWA,1915
4,Pablopavo i Ludziki,KARWOSKI,1915
5,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1915
6,Lao Che,SEN A'LA TREN,1915
7,Maanam & Kasia Nosowska,SIE ŚCIEMNIA,1915
8,Kortez,HEJ WY,1915
9,Męskie Granie Orkiestra 2018,POCZĄTEK,1915
10,Zaz,QUE VENDRA,1915
1,Riverside,RIVER DOWN BELOW,1916
2,Dawid Podsiadło,NIE MA FAL,1916
3,Kortez,STARE DRZEWA,1916
4,Lao Che,SEN A'LA TREN,1916
5,Pablopavo i Ludziki,KARWOSKI,1916
6,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1916
7,Zaz,QUE VENDRA,1916
8,Maanam & Kasia Nosowska,SIE ŚCIEMNIA,1916
9,The Dumplings,RAJ,1916
10,Kortez,HEJ WY,1916
1,Riverside,RIVER DOWN BELOW,1917
2,Dawid Podsiadło,NIE MA FAL,1917
3,Pablopavo i Ludziki,KARWOSKI,1917
4,Kortez,STARE DRZEWA,1917
5,Zaz,QUE VENDRA,1917
6,Lao Che,SEN A'LA TREN,1917
7,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1917
8,Maanam & Kasia Nosowska,SIE ŚCIEMNIA,1917
9,The Dumplings,RAJ,1917
10,Nosowska,BRAWA DLA PAŃSTWA,1917
1,Riverside,RIVER DOWN BELOW,1918
2,Dawid Podsiadło,NIE MA FAL,1918
3,Kortez,STARE DRZEWA,1918
4,Pablopavo i Ludziki,KARWOSKI,1918
5,Lao Che,SEN A'LA TREN,1918
6,Zaz,QUE VENDRA,1918
7,Maanam & Kasia Nosowska,SIE ŚCIEMNIA,1918
8,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1918
9,Kortez,HEJ WY,1918
10,Greta Van Fleet,"LOVER, LEAVER",1918
1,Riverside,RIVER DOWN BELOW,1919
2,Dawid Podsiadło,NIE MA FAL,1919
3,Zaz,QUE VENDRA,1919
4,Kortez,STARE DRZEWA,1919
5,Pablopavo i Ludziki,KARWOSKI,1919
6,Lao Che,SEN A'LA TREN,1919
7,Kortez,HEJ WY,1919
8,Maanam & Kasia Nosowska,SIE ŚCIEMNIA,1919
9,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1919
10,Mela Koteluk,ODPROWADŹ,1919
1,Riverside,RIVER DOWN BELOW,1920
2,Dawid Podsiadło,NIE MA FAL,1920
3,Zaz,QUE VENDRA,1920
4,Mela Koteluk,ODPROWADŹ,1920
5,Kortez,STARE DRZEWA,1920
6,Lao Che,SEN A'LA TREN,1920
7,Pablopavo i Ludziki,KARWOSKI,1920
8,Artur Andrus,STARGARD IN THE NIGHT,1920
9,Kortez,HEJ WY,1920
10,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1920
1,Mela Koteluk,ODPROWADŹ,1921
2,Dawid Podsiadło,NIE MA FAL,1921
3,Riverside,RIVER DOWN BELOW,1921
4,Lao Che,SEN A'LA TREN,1921
5,Zaz,QUE VENDRA,1921
6,Kortez,STARE DRZEWA,1921
7,Pablopavo i Ludziki,KARWOSKI,1921
8,Artur Andrus,STARGARD IN THE NIGHT,1921
9,Greta Van Fleet,"LOVER, LEAVER",1921
10,Kortez,HEJ WY,1921
1,Riverside,RIVER DOWN BELOW,1922
2,Organek i Kazik,POLSKA (MĘSKIE GRANIE 2018),1922
3,Dawid Podsiadło,NIE MA FAL,1922
4,Mela Koteluk,ODPROWADŹ,1922
5,Zaz,QUE VENDRA,1922
6,Lao Che,SEN A'LA TREN,1922
7,Artur Andrus,STARGARD IN THE NIGHT,1922
8,Kortez,STARE DRZEWA,1922
9,Pablopavo i Ludziki,KARWOSKI,1922
10,Greta Van Fleet,"LOVER, LEAVER",1922
1,Organek i Kazik,POLSKA (MĘSKIE GRANIE 2018),1923
2,Riverside,RIVER DOWN BELOW,1923
3,Kortez,STARE DRZEWA,1923
4,Mela Koteluk,ODPROWADŹ,1923
5,Dawid Podsiadło,NIE MA FAL,1923
6,Zaz,QUE VENDRA,1923
7,Lao Che,SEN A'LA TREN,1923
8,Artur Andrus,STARGARD IN THE NIGHT,1923
9,Pablopavo i Ludziki,KARWOSKI,1923
10,Maanam & Kasia Nosowska,SIE ŚCIEMNIA,1923
1,Organek i Kazik,POLSKA (MĘSKIE GRANIE 2018),1924
2,Riverside,RIVER DOWN BELOW,1924
3,Zaz,QUE VENDRA,1924
4,Kortez,STARE DRZEWA,1924
5,Mela Koteluk,ODPROWADŹ,1924
6,Dawid Podsiadło,NIE MA FAL,1924
7,Artur Andrus,STARGARD IN THE NIGHT,1924
8,Lao Che,SEN A'LA TREN,1924
9,Marianne Faithfull & Nick Cave,THE GYPSY FAERIE QUEEN,1924
10,Lady Gaga & Bradley Cooper,SHALLOW,1924
1,Riverside,RIVER DOWN BELOW,1925
2,Organek i Kazik,POLSKA (MĘSKIE GRANIE 2018),1925
3,Zaz,QUE VENDRA,1925
4,Lao Che,SEN A'LA TREN,1925
5,Marianne Faithfull & Nick Cave,THE GYPSY FAERIE QUEEN,1925
6,Kortez,STARE DRZEWA,1925
7,Dawid Podsiadło,NIE MA FAL,1925
8,Lady Gaga & Bradley Cooper,SHALLOW,1925
9,Mela Koteluk,ODPROWADŹ,1925
10,Artur Andrus,STARGARD IN THE NIGHT,1925
1,Organek i Kazik,POLSKA (MĘSKIE GRANIE 2018),1926
2,Riverside,RIVER DOWN BELOW,1926
3,Lao Che,SEN A'LA TREN,1926
4,Lady Gaga & Bradley Cooper,SHALLOW,1926
5,Zaz,QUE VENDRA,1926
6,Marianne Faithfull & Nick Cave,THE GYPSY FAERIE QUEEN,1926
7,Kortez,STARE DRZEWA,1926
8,Dawid Podsiadło,NIE MA FAL,1926
9,Pablopavo i Ludziki,KARWOSKI,1926
10,Artur Andrus,STARGARD IN THE NIGHT,1926
